,text,created_at,news_org,sentiment,positive,negative,neutral,compound,tweets_ago
69,Australia wins landmark case on cigarette plain packaging https://t.co/TeaTcQOh35,Fri Jun 29 01:35:59 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.6124}",0.417,0.0,0.583,0.6124,70
70,'Treated like dogs': Italy's Roma minority on society's fringe https://t.co/vcD57yX2Vt,Fri Jun 29 00:40:19 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.217,0.0,0.783,0.3612,71
71,"Terrace House: Japan's nice, calm Love Island alternative https://t.co/VbfdD7ncI7",Fri Jun 29 00:27:10 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.8519}",0.608,0.0,0.392,0.8519,72
72,Africa's week in pictures: 22-28 June 2018 https://t.co/jRuGkbD5oP,Fri Jun 29 00:10:52 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,73
73,Annapolis shooting: How journalists tweeted their ordeal https://t.co/W6ScEGVSB6,Thu Jun 28 22:49:29 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,74
74,"RT @BBCBreaking: Several people dead in shooting at newspaper building in US city of Annapolis in Maryland, officials confirm https://t.co/…",Thu Jun 28 20:44:06 +0000 2018,@BBCWorld,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6486}",0.0,0.185,0.815,-0.6486,75
75,"RT @BBCSport: FT: #PAN 1-2 #TUN

33' ⚽ Yassine Meriah (OG)
51' ⚽ Ben Youssef
66' ⚽ Khazri

Tunisia come from behind to take third place in…",Thu Jun 28 19:59:36 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,76
76,"RT @BBCSport: And here it is, your #WorldCup last-16 draw in full...

30th June: 
3pm: #FRA v #ARG
7pm: #URU v #POR 

1st July:
3pm: #ESP v…",Thu Jun 28 19:50:59 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,77
77,"RT @BBCSport: FT: #ENG 0-1 #BEL 

Adnan Januzaj's goal means England finish second in the group.

Reaction: https://t.co/2nqcGRunPa 

#Worl…",Thu Jun 28 19:50:37 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,78
78,Police confirm 'shooting incident' at Maryland newspaper office https://t.co/Q1EiArPbPP,Thu Jun 28 19:43:43 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,79
79,Women fear abortion rights under threat https://t.co/t1YfZwmiE7,Thu Jun 28 18:57:43 +0000 2018,@BBCWorld,"{'neg': 0.569, 'neu': 0.431, 'pos': 0.0, 'compound': -0.765}",0.0,0.569,0.431,-0.765,80
80,Charlottesville car attack suspect charged with hate crime https://t.co/ROd3zhcLnL,Thu Jun 28 16:42:58 +0000 2018,@BBCWorld,"{'neg': 0.781, 'neu': 0.219, 'pos': 0.0, 'compound': -0.9231}",0.0,0.781,0.219,-0.9231,81
81,In pictures: Despair as Senegal crash out of World Cup https://t.co/ckvsnJJHL9,Thu Jun 28 16:21:29 +0000 2018,@BBCWorld,"{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.6124}",0.0,0.357,0.643,-0.6124,82
82,Reality Check: Which countries have military service? https://t.co/wcT7v2ZI0q,Thu Jun 28 16:06:48 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,83
83,"RT @BBCAfrica: For months now, horrific images have been pouring out of Cameroon on social media. Killings. Torture. Villages on fire.

#BB…",Thu Jun 28 16:03:03 +0000 2018,@BBCWorld,"{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.9451}",0.0,0.458,0.542,-0.9451,84
84,"RT @BBCAfrica: FT  #SEN 0-1 #COL

Heartbreak for Africa :( 

The continent's last hope is out of the #WorldCup

https://t.co/GGv9T2q7zj

#B…",Thu Jun 28 15:56:37 +0000 2018,@BBCWorld,"{'neg': 0.24, 'neu': 0.655, 'pos': 0.105, 'compound': -0.5719}",0.105,0.24,0.655,-0.5719,85
85,"RT @BBC_HaveYourSay: 🦄☕️🚗🌈🤔
https://t.co/RfEUfsup7c",Thu Jun 28 15:26:28 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,86
86,"RT @BBCSport: GOAL!

Jan Bednarek slots in the opener and suddenly, as it stands, Japan are going out! 

#JPN 0-1 #POL 

Live: https://t.co…",Thu Jun 28 15:23:00 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,87
87,Banning the Uluru climb: 'This rock means everything to us' https://t.co/pg9bZZ4Tch,Thu Jun 28 15:16:20 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,88
88,"RT @BBCSport: HT: #SEN 0-0 #COL 

No goals yet with Davinson Sanchez's tackle on Sadio Mane inside the penalty area the main talking point…",Thu Jun 28 14:49:50 +0000 2018,@BBCWorld,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.6369}",0.0,0.191,0.809,-0.6369,89
89,"RT @BBCSport: HT: #JPN 0-0 #POL 

Poland came closest with a header - other than that, not much has happened, which suits Japan for now!

L…",Thu Jun 28 14:48:42 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,90
90,"RT @BBCNews: Belgium PM @CharlesMichel presents UK PM @theresa_may with Belgian football shirt ahead of #ENGBEL #WorldCup 

https://t.co/cn…",Thu Jun 28 14:18:11 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,91
91,Syria war: Air strike on Deraa shelter kills 17 civilians https://t.co/9rygwWkJis,Thu Jun 28 14:07:47 +0000 2018,@BBCWorld,"{'neg': 0.527, 'neu': 0.473, 'pos': 0.0, 'compound': -0.836}",0.0,0.527,0.473,-0.836,92
92,Farmer finds prehistoric gold artefacts in Donegal. https://t.co/Ws3NMT0eOA,Thu Jun 28 14:02:58 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,93
93,"RT @BBCSport: #JPNPOL is underway! ⚽

The pressure is off Poland, so will they finish with a flourish?

Or will Japan hold onto top spot?…",Thu Jun 28 14:02:47 +0000 2018,@BBCWorld,"{'neg': 0.111, 'neu': 0.819, 'pos': 0.07, 'compound': -0.2621}",0.07,0.111,0.819,-0.2621,94
94,"RT @BBCSport: KICK-OFF!

#SEN v #COL is underway with both teams potential opponents for #ENG in the last-16 of the #WorldCup

Follow the a…",Thu Jun 28 14:02:23 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,95
